destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,safety_sentiment,safety_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,aspects_detected,aspect_sentiments,num_aspects
Pantai Kukup,Kemas Indra Wijaya,5,"Pantai Kukup adalah salah satu Destinasi wisata diGunungkidul yang ramai dikunjungi wisatawan lokal. Penampakannya sepintas hampir sama dengan Tanah Lot Bali. Bedanya kalau diPantai Kukup kita bisa menyeberangi Pulau kecil dengan melewati jembatan. Sedangkan diTanah Lot tidak ada jembatan nunggu air surut baru bisa kepulaunya. Pantai Kukup sangat eksotis sekali, pemandangan yang indah jadi betah berlama-lama disini. Banyak pedagang kaki lima yang berjualan makanan dan Pakaian serta oleh-oleh kha",,,,,,,,,,,negative,0.451,negative,0.451,negative,0.451,,,negative,0.451,,,,,"scenery, atmosphere, food, crowd",scenery:negative; atmosphere:negative; food:negative; crowd:negative,4
Pantai Ngobaran,Nerizal Rasyid,5,"Pantai dgn pemandangan laut lepas & tebing yg indah. Dengan tempat ibadah 3 kepercayaan yg saling menghormati & berdampingan dengan harmonis. Islam, Hindu & Kejawan. Singgah nya cuma sebentar belum puas eksplor. Semoga lain kali bs kembali ke pantai Ngobaran & bisa lebih puas",,,,,,,,,,,negative,0.424,,,,,,,,,,,,,scenery,scenery:negative,1
Gumuk Pasir Parangkusumo,Sujarwo susi,5,gumuk pasir tempat yg indah dgn jeep nya yg bikin pengalaman petualangan kita menjadi sangat luar biasa di dukung fotogafer keren ....,,,,,,,,,,,negative,0.823,,,,,negative,0.823,,,negative,0.823,,,"scenery, safety, photo_spot",scenery:negative; safety:negative; photo_spot:negative,3
Makam Raja-Raja Imogiri,calon sastrawan,5,"Klo mau ziarah,gausah khawatir ga kuat naik,karna sudah ada ojek yg bisa nganter smpek atas. Tp klo kuat n mau olahraga,silahkan pake tangga. Jumlahnya 442 diitung dr masjid smpek pertigaan. (Sumber: mbah² putri)",negative,0.694,negative,0.694,negative,0.694,negative,0.694,negative,0.694,negative,0.694,negative,0.694,,,negative,0.694,negative,0.694,negative,0.694,negative,0.694,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, safety, crowd, photo_spot, historical_value",cleanliness:negative; facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; safety:negative; crowd:negative; photo_spot:negative; historical_value:negative,11
Pantai Ngobaran,Makne ChiLachiLo,5,"Ikut open trip, naik bis gede seat 50, perjalanan ke Ngobaran harus dikawal, trek nya ruarrr biasa, naik turun sempit pulak.. Terbayarkan sama view nyaa,,,",,,,,positive,0.393,,,positive,0.393,positive,0.393,,,,,,,,,,,,,"price, accessibility, scenery",price:positive; accessibility:positive; scenery:positive,3
Pantai Kukup,Sasti,5,"Pantai terbaik di Gunung Kidul, menurut saya. Pantainya bersih, banyak warung penjual makanan, ada penjual oleh-oleh juga, pun banyak pilihan penginapan. Dan anehnya, pantai kok adem ya? Serius ini Pantai Kukup nggak sepanas pantai lainnya. Ombaknya pecah di tengah, jadi anak-anak aman main pasir dan air di pinggir pantai. Ada jasa foto juga kalau mau foto estetik. Kalau suka fotonya, tinggal tebus 5 ribu rupiah per foto. Datang hari Jumat sekitar jam 10 pagi, pantai kosong. Besok paginya waktu ",negative,0.511,,,,,,,,,,,negative,0.511,negative,0.511,negative,0.511,negative,0.511,negative,0.511,,,"cleanliness, atmosphere, food, safety, crowd, photo_spot",cleanliness:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; photo_spot:negative,6
Sendang Sono,Legio,5,"Masuk area doa suasana langsung disambut keheningan, udara sejuk dan tenang banget. Betah berlama lama ngobrol sama Ibu disini",,,,,,,,,,,,,negative,0.478,,,,,,,,,,,atmosphere,atmosphere:negative,1
Gumuk Pasir Parangkusumo,WWRahmania,4,"Gurun pasir dengan pasir yang sangaaaat lembut dan halus.. bagusnya kalo kesini pagi2 atau sore hari karena kalau siang panas menyengat, diatas jam 9 jg sudah terasa terik. Bagus untuk foto2, tapi sayangnya kemaren ada mobil yg melaju cepat di gurunnya jd membuat pasir nya beterbangan, sungguh sangat membuat tidak nyaman orang2 yang ada di situ. Tolong untuk mobil jangan boleh masuk ke gumuk pasir dong",,,,,,,,,,,negative,0.834,negative,0.834,,,negative,0.834,,,negative,0.834,,,"scenery, atmosphere, safety, photo_spot",scenery:negative; atmosphere:negative; safety:negative; photo_spot:negative,4
Pantai Depok,Sekar AW,5,"Sering banget kesini kalau ke pantai soalnya ada pasar ikannya, cuman kemarin lupa kefoto.. kesini terakhir kemarin ombak nya gede banget, Ga cocok kalau untuk mandi di laut, banyak kapal kapal nelayan juga. Ada yang mancing juga.",,,,,,,,,,,,,,,,,negative,0.654,,,negative,0.654,,,"safety, photo_spot",safety:negative; photo_spot:negative,2
Pantai Baru,Nala Al,5,"Salah satu pantai yang sering dikunjungi 👌 Cukup bersih, spot makanan juga banyak .. 👍 …",positive,0.672,,,,,,,,,,,,,positive,0.672,,,,,positive,0.672,,,"cleanliness, food, photo_spot",cleanliness:positive; food:positive; photo_spot:positive,3
Museum Ullen Sentalu,maretha embunsari,5,"senang sekali ke museum ini. suasananya tenang, nyaman, banyak pohon-pohon rindang. tourguide nya bener-bener informatif, ceria, seru banget dengerin ceritanya. koleksinya bagus-bagus, ruangannya terawat semuanya. tidak boleh dokumentasi selama tour tapi ga masalah karena sangat menikmati tournya. sayang waktu selesai tournya di luar hujan jadi ga bisa banyak foto2 di tempat yang diperbolehkan huhu",negative,0.415,,,,,negative,0.415,,,negative,0.415,negative,0.415,,,negative,0.415,,,negative,0.415,negative,0.415,"cleanliness, service, scenery, atmosphere, safety, photo_spot, historical_value",cleanliness:negative; service:negative; scenery:negative; atmosphere:negative; safety:negative; photo_spot:negative; historical_value:negative,7
Pantai Kesirat,gagas,4,"Tempatnya keren apik bgt. View nya keren.. angin laut ny brsa bgt. Deburan ombak ny juga menenangkan .... Jaaln nya jg udah bagus.... Smuny tertata rapi Jalannya ja terjal. Naik turun ngebelh gunung. Masuk nya ada tiket 9000 untuk 2 orang.. Catatan : siapkan uang lebih (receh) untuk parkir, sumbang tukang belokan dan tanjakan.bkarena jalan sempit, untuk 2 mobil d tanjakan sangat berbqhaya. jadi gantian...",negative,0.562,negative,0.562,negative,0.562,,,negative,0.562,negative,0.562,,,,,negative,0.562,,,,,,,"cleanliness, facilities, price, accessibility, scenery, safety",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; scenery:negative; safety:negative,6
Pantai Slili,Shella Ardila,3,Not bad but not good. Bagus pantainya tapi kotor dan agak mahal apa apa banyar mana maksa nawarin trs,neutral,0.677,,,neutral,0.677,,,,,neutral,0.677,,,,,,,,,,,,,"cleanliness, price, scenery",cleanliness:neutral; price:neutral; scenery:neutral,3
Pantai Kesirat,Ageng Archer,5,"Untuk spot foto bagus semua secara natural, mau jam berapa pun bagus, bisa untuk camping (dimohon untuk jaga tata krama, & bagi yg bawa makanan berbungkus, tolong di buang di tempat sampah yg di sedia kan, kalau nggak ada di bawa pulang), spot matahari tenggelam baguuss.",negative,0.451,,,,,,,,,negative,0.451,,,negative,0.451,,,,,negative,0.451,,,"cleanliness, scenery, food, photo_spot",cleanliness:negative; scenery:negative; food:negative; photo_spot:negative,4
Alun-alun Kidul,Geika Pramana Surya,5,"Parkir motor relatif gampang. Yg agak susah masuk ke alkidnya karena jalanan lagi padat (efek long weekend?). Di dalam alkidnya pun agak macet karena ada yg naik mobil-mobilan jadi mobil yg asli gk bisa nyalip. Vendor makanan ada beragam. Kemarin habis 25k dapet risol mayo 3 sama telur gulung 8 tusuk. Di lapangan alkidnya banyak tempat buat duduk dan menikmati makanan. Lapangan relatif bersih, tapi kemarin liat beberapa kucing lagi pip haha. Overall recommended buat dikunjungi kalau lagi di Jogj",positive,0.536,positive,0.536,,,,,positive,0.536,,,,,positive,0.536,,,,,,,,,"cleanliness, facilities, accessibility, food",cleanliness:positive; facilities:positive; accessibility:positive; food:positive,4
Pantai Sundak,Tia Santika,5,"Pantainya cantik, kebetulan pas dateng kesana lagi sepi di hari Kamis. Airnya lagi surut & keliatan banyak hewan lautnya.. Ada ikan ikan kecil, bulu babi, bintang laut, teripang, kelomang, juga ada banyak rumput laut yg hijau hijau. Ombaknya relatif kecil & pemandangan nya cantik dengan tambahan karang di sisi kiri & kanan pantai. Makanan di sana juga enak enak & murah. Ada jasa foto, filenya dikirim ke hp, harganya cuma 3rb/fotonya",,,,,negative,0.565,,,,,negative,0.565,negative,0.565,negative,0.565,negative,0.565,negative,0.565,negative,0.565,,,"price, scenery, atmosphere, food, safety, crowd, photo_spot",price:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; photo_spot:negative,7
Pantai Sundak,Lilis Andr,5,"Pantai berpasir putih. Saya nginep dipenginapan pas diatas tebing diatas pantai (hill house). Mau sunset atau sunrise sama2 bagus viewnya, ditambah waktu2 itu pengunjung sedikit jd kek private beach. Banyak gazebo dipantai. Kalo air lg surut jgn lupa pake sandal kalo mau ke karang2 karna banyak bulu babi sembunyi dilubang2 karang.",,,positive,0.506,,,,,,,positive,0.506,,,,,,,positive,0.506,,,,,"facilities, scenery, crowd",facilities:positive; scenery:positive; crowd:positive,3
Prawirotaman,Muhammad Azmi Hidayat,5,Jalan ini unik dan berbeda dengan sudut Jogja yang lain.,,,,,,,,,positive,0.579,,,,,,,,,,,,,,,accessibility,accessibility:positive,1
Pantai Sundak,Dwi Yuli,4,"1 Januari 2026 tadi kesini setelah dari pantai Sadranan , kesini sewa tikar 20rb , neduh di bawah pohon , berbaur dengan tenda2 bekas orang2 yg ngecamp , kondisi parkiran mobil luass dan padat untuk hari ini tp tukang parkirnya gak mau ngatur kendaraan yg keluar masuk , hanya meminta i biaya parkir saja lalu pergi dan parkiran semrawut , mau keluar jg susah Krn gak tertata",,,negative,0.663,,,,,negative,0.663,,,,,,,,,,,,,,,"facilities, accessibility",facilities:negative; accessibility:negative,2
Pantai Slili,Elin Tanama,5,Pantainya bagus dan ombaknya kecil. Rute menuju pantai juga bagus dan tidak terjal.,,,,,,,,,,,negative,0.355,,,,,negative,0.355,,,,,,,"scenery, safety",scenery:negative; safety:negative,2
Pantai Sadeng,Anggita Wulandari,5,"cantik disegala sisi, sampai disini jam 7 pagi, air masih surut, jam 8 Alhamdulillah sudah Pasang, air jernih sekali, berasa ke karimun hahaha , untuk masuknya saya tdk membayar uang apapun, parkir gratis, saya jajan dipinggir pantai dgn menu dibawah ini, habis 73k sudah plus nasi seceting, esteh sama mineral..... naik keatas nemu pantai krokoh, mskipun jalanannya ngeri dikit , tp bagus bgt , boleh cek instagram @anggitaawulandarii untuk detail tempat wisata yg rekomended",,,negative,0.458,negative,0.458,,,negative,0.458,negative,0.458,,,,,,,,,,,,,"facilities, price, accessibility, scenery",facilities:negative; price:negative; accessibility:negative; scenery:negative,4
Bukit Bintang,Thomas Alva EdiSound,3,"Sayang banget, padahal potensinya bagus. ​Sebenarnya tempat ini punya pemandangan yang sangat indah, apalagi untuk menikmati suasana malam. Tapi sayang sekali, fasilitasnya terasa kurang perawatan dan terlihat agak terbengkalai. Pengalaman nongkrong jadi kurang maksimal karena pelayanannya yang kurang ramah. Untuk menu minuman, menurut saya rasanya terlalu manis (over sweet), mungkin takaran gulanya bisa dikurangi. Semoga ke depannya manajemen bisa memperbaiki maintenance dan hospitality-nya, ka",,,,,,,negative,0.578,,,negative,0.578,negative,0.578,negative,0.578,negative,0.578,,,,,,,"service, scenery, atmosphere, food, safety",service:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative,5
Pantai Parangtritis,Rifka Adriningrum,5,Baru tau pantai Parangtritis ini buat terapi karena lahiran anak kedua. Dan anak keduanya sekarang udah 2 tahun. Dulu-dulunya kita terapi tuh pergi jam 4 subuh biar bisa terapi. Tapi pas ini kita memilih untuk nginep sajalh.,negative,0.598,,,,,,,,,,,,,,,,,,,,,,,cleanliness,cleanliness:negative,1
Prawirotaman,Rado Chalif,5,ꦥꦿꦮꦶꦫꦺꦴꦠꦩꦤ꧀,negative,0.638,negative,0.638,negative,0.638,negative,0.638,negative,0.638,negative,0.638,negative,0.638,negative,0.638,negative,0.638,negative,0.638,negative,0.638,negative,0.638,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, food, safety, crowd, photo_spot, historical_value",cleanliness:negative; facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; photo_spot:negative; historical_value:negative,12
Sendang Sono,Aloysius Kiyoshi,5,"Tempat ya nyaman banget. Ga berisik, security nya jg baik banget. Jalan salib malem2 menjelang subuh jg aman, enak bangett bisa doa khusuk.",,,,,,,,,positive,0.401,,,positive,0.401,positive,0.401,positive,0.401,,,,,,,"accessibility, atmosphere, food, safety",accessibility:positive; atmosphere:positive; food:positive; safety:positive,4
Studio Alam Gamplong,AYUNDHA NURHAYATI,5,"Udah 2x kesana.. pas di rumah angeline bagus banget.. dan cocok dijadiin tempat"" foto.. untuk dusun trinil kalian wajib cobain deh sampai di stage selanjutnya.. serem banget woiii.. untuk biaya masuk seikhlasnya, nanti ada tambahan tiket per lokasi tempatnya 10k.. kalau ambil semua cuma 45k.. disini ak cm ambil 2 tiket saja.. karena udah bener"" capek poll... 🥵🥵 aku kemarin weekend ngga lumayan ramai sih, utk parkir luas... dan bayar seikhlasnya",,,negative,0.512,negative,0.512,,,negative,0.512,negative,0.512,negative,0.512,,,,,negative,0.512,negative,0.512,,,"facilities, price, accessibility, scenery, atmosphere, crowd, photo_spot",facilities:negative; price:negative; accessibility:negative; scenery:negative; atmosphere:negative; crowd:negative; photo_spot:negative,7
Pantai Wediombo,Arsip 2024,5,"Pantai yang cukup jauh dari pusat kota sekitar 2 jam. Tapi memang deretan pantai di Gunung Kidul ini bagus-bagus, jadi rasa lelah dapat terbayarkan. Datang pagi-pagi dan cuacanya mendung, tetapi pemandangan tidak mengecewakan. Saat itu belum terlalu ramai pengunjung, jadi kami masih dapat menikmati suasana dengan lebih nyaman. Jalannya lumayan mudah, tetapi seperti daerah di Gunkid lainnya yang tentu naik turun. Tiket kena di tpr, 2 orang 15k. Mandi bayar 5k, ada yang jual bensin juga di warung ",,,,,negative,0.626,,,negative,0.626,negative,0.626,negative,0.626,negative,0.626,negative,0.626,negative,0.626,,,,,"price, accessibility, scenery, atmosphere, food, safety, crowd",price:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative,7
Situs Warungboto,Widya Dian,5,"Mirip dengan taman sari namun ini versi kecil(?). Recomended untuk tempat foto tapi datang pagi lebih baik karena mulai dari jam 10 ke atas tempat ini panasnya menyengaat sekali. Kalau terlanjur datang siang better bawa payung. In my opinion, tempat ini memang tidak semenarik taman sari.",,,,,,,,,,,,,,,,,positive,0.727,,,positive,0.727,,,"safety, photo_spot",safety:positive; photo_spot:positive,2
Pantai Drini,Cita Dwi Lestari,5,"Pantai Drini Pantai wisata keluarga dengan fasilitas lengkap seperti mushola, toilet dan warung-warung. Tak hanya bermain air, pengunjung juga dapat berkano atau menaiki bukit melalui jembatan pantai Drini. Pantai ini berbeda dengan pantai lain karena memiliki 2 pantai dengan karakteristik berbeda yakni berarus tenang dan berarus deras yang biasa digunakan nelayan untuk melaut. Banyak dijumpai pedagang cinderamata atau olahan hasil laut di pantai Drini",,,negative,0.522,,,,,,,,,negative,0.522,negative,0.522,,,negative,0.522,,,,,"facilities, atmosphere, food, crowd",facilities:negative; atmosphere:negative; food:negative; crowd:negative,4
Pantai Indrayanti,aasumirat fajarudin,5,"Alternatif pantai lain selain pantai Parangtritis. Akses menuju lokasi mudah, baik kendaraan roda dua,roda empat maupun bis. Harga tiket / retribusi 15K / Orang, termasuk dengan pantai pantai yang lainnya. Disekitar banyak tempat makan juga tempat bilas dan musola.",,,,,negative,0.496,,,negative,0.496,,,,,negative,0.496,,,,,,,,,"price, accessibility, food",price:negative; accessibility:negative; food:negative,3
Makam Raja-Raja Imogiri,Afiqul Adib,5,"Parkir ada. Toilet ada. Masjid ada. Yang gak ada cuma harapanmu memilikinya 😆 Cukup menyenangkan. Salah satu tempat sakral di Jogja yg tak boleh dilewatkan adalah Makam raja-raja Imogiri. Yah, untuk sampai ke sini memang harus menaklukkan ratusan anak tangga, yang bagi orang berlemak seperti saya cukup melelahkan. Oiya, di dalem makam nggak boleh ambil gambar. Dan harus pakek baju ginian sih. Jadi, selain vibe-nya dapet, kontennya juga dapet 😆 oke sipz",,,negative,0.607,,,,,negative,0.607,,,,,negative,0.607,,,,,,,,,"facilities, accessibility, food",facilities:negative; accessibility:negative; food:negative,3
Pantai Sadranan,Fikri Rahmananda,5,Nyaman dan bagus pantainya indah untuk dinikmati Bisa sambil jalan jalan mencari biota laut saat surut,,,,,,,,,negative,0.579,negative,0.579,negative,0.579,,,negative,0.579,,,,,,,"accessibility, scenery, atmosphere, safety",accessibility:negative; scenery:negative; atmosphere:negative; safety:negative,4
Malioboro,ika siti nurroyani,5,"Malam di malioboro nggak pernah gagal, apalagi agak gerimis, semakin nambah rindu",negative,0.85,negative,0.85,,,negative,0.85,negative,0.85,negative,0.85,negative,0.85,negative,0.85,negative,0.85,negative,0.85,,,negative,0.85,"cleanliness, facilities, service, accessibility, scenery, atmosphere, food, safety, crowd, historical_value",cleanliness:negative; facilities:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; historical_value:negative,10
Pantai Indrayanti,San San,4,"Pantainya bagus airnya lumayan bersih, pasirnya lembut sudah banyak stand makan dan beberapa fasilitas penunjang seperti kamar mandi bilas dan toilet Parkiran luas masuk pantainya cukup dengan biaya 8 ribu dan parkir 10 ribu saja. Sudah bisa menikmati pantai yang eksotis Saran saya jika mau kepantai siang menjelang sore jam 3 sudah tidak terik matahari nya dan bisa menikmati sejuknya udara pantai",negative,0.645,negative,0.645,,,,,negative,0.645,negative,0.645,negative,0.645,negative,0.645,,,,,,,,,"cleanliness, facilities, accessibility, scenery, atmosphere, food",cleanliness:negative; facilities:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative,6
Pantai Indrayanti,Fizry Muiz,5,"Sebenernya tujuan awal bukan ke pantai ini, tapi karna libur panjang dan maceeet jadi diarahkanlah kita ke pantai ini.. Anak2 lebih seneng di spot yg berbatu karna banyak binatang air yang bisa mereka liat.. Seneng banget bisa nangkep mini moray eel walopun pas mau plg harus di release lagii 😅 Tapi cerita pas nangkepnya jadi kenangan buat mereka 😍",,,,,,,,,,,,,,,,,,,,,negative,0.715,,,photo_spot,photo_spot:negative,1
Pantai Kukup,Pak Teguh Gun,4,"Pantai Kukup area sangat dekat pantai mesra, jika d pake santai healing"" tipis sangat menyenangkan Warung"" menyediakan berbagai menu tersedia tinggal pilih sesuai selera saja",,,,,,,,,positive,0.61,,,,,positive,0.61,,,,,,,,,"accessibility, food",accessibility:positive; food:positive,2
Pantai Sundak,F S,5,"Pantai sundak ini pertama kali kami mengunjungi dan ternyata menyenangkan n luar biasa, pasir putih, masih byk biota laut, ada rumput laut, bagus n menyenangkan untuk anak2 jd tnp takut ombak yg kencang Masuk wilayah pantai2 15K per org, udah meliputi byk pantai.. Its worth it bgt Parkir mobil 10K",,,positive,0.558,positive,0.558,,,positive,0.558,positive,0.558,,,,,positive,0.558,,,,,,,"facilities, price, accessibility, scenery, safety",facilities:positive; price:positive; accessibility:positive; scenery:positive; safety:positive,5
Makam Raja-Raja Imogiri,Ika Nugraha Fitriana,5,"Sering kesini krn dekat dg rumah. Kesini bukan utk ziarah tapi lebih ke olahraga tiap weekend, krn anak tangga yg banyak jadi bisa untuk melatih otot kaki dan juga utk trekking. Selain itu pemandangan sekitar makam raja jg sangat indah, dikelilingi bukit dan jika langit cerah bisa lihat 3 gunung dr makam atas kraton jogja. Ada jalur trekking yg syahdu di sekitar makam raja.",,,,,,,,,negative,0.554,negative,0.554,,,,,,,,,,,,,"accessibility, scenery",accessibility:negative; scenery:negative,2
Candi Kalasan,Fajar Astanaprima,5,Candi Kalasan pinggir jalan. Tiket masuk 6 ribu rupiah (valid 9 Juni 2023). Datang kesini baiknya pagi atau sore. Kompleknya tidak begitu besar soalnya di tengah pemukiman warga & pinggir jalan raya persis.,,,,,negative,0.826,,,negative,0.826,,,,,,,,,,,,,negative,0.826,"price, accessibility, historical_value",price:negative; accessibility:negative; historical_value:negative,3
Makam Raja-Raja Imogiri,rizky hermawan,5,"Akhirnya bisa sampai ke tempat ini yang menjadi salah satu wishlist saya. Tetapi karena saya datangnya di hari Jumat pagi dan saya harus pergi ke tempat lain maka cuma bisa berfoto saja dengan memakai baju sewaan di sana karena jadwal ziarah di hari Jumat itu dimulai pukul 13:00. Tempatnya asri, tenang dan bagus sekali. Dan pastikan kalau ke sini kondisi tubuh fit karena naik ratusan anak tangga untuk sampai ke atas. Suka selalu dengan tempat ini.",,,,,,,,,,,positive,0.409,positive,0.409,,,,,,,positive,0.409,,,"scenery, atmosphere, photo_spot",scenery:positive; atmosphere:positive; photo_spot:positive,3
Pantai Indrayanti,Bowo Ardianto,5,"Pantainya lumayan luas. Tipikal pantai landai dengan deretan batuan di tepiannya. Selain berfungsi sebagai penahan ombak, juga turut memperindah panorama. Pasirnya bersih, lembut dan melimpah. Bermain pasir di pantai ini mengasyikkan sekali. Fasilitas penunjang lumayan komplet. Warung-warung penyedia makanan dan minuman juga banyak. Akses jalan kesini sudah bagus dan nyaman.",negative,0.43,,,,,,,negative,0.43,negative,0.43,negative,0.43,negative,0.43,negative,0.43,,,,,,,"cleanliness, accessibility, scenery, atmosphere, food, safety",cleanliness:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative,6
Pantai Baru,Ricky Dharmawan,5,Tempat yang asyik dan tidak panas bisa berteduh dibawah pohon.,positive,0.583,positive,0.583,positive,0.583,positive,0.583,positive,0.583,positive,0.583,positive,0.583,positive,0.583,positive,0.583,positive,0.583,positive,0.583,positive,0.583,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, food, safety, crowd, photo_spot, historical_value",cleanliness:positive; facilities:positive; price:positive; service:positive; accessibility:positive; scenery:positive; atmosphere:positive; food:positive; safety:positive; crowd:positive; photo_spot:positive; historical_value:positive,12
